OBJECTID_1,Field1,SiteID,SiteID2,Latitude1,Longitude1,OBJECTID,Join_Count,TARGET_FID,Latitude,Longitude,Elevation,Index,sf1,sd1,dd1,bf1,PercF4500,PercES4500,PercES
132,133,142,142r,41.80432,-75.82471,132,1,132,41.80594669,-75.82551991,471.814209,242430,167.0699768,75.4757309,-184.9606323,42.55089569,0.536777778,0.015277778,0.013888889
133,134,143,143r,41.22074,-76.09044,133,1,133,41.22000752,-76.09275419,256.7403259,82045,91.74363708,55.86031342,-126.5132675,31.60862732,0.865955556,0.018244444,0.006944444
134,135,144,144r,41.95303,-76.05791,134,1,134,41.95471914,-76.05924351,548.8516235,255583,166.8063812,74.19960022,-211.0603027,45.91957092,0.778377778,0.018777778,0
135,136,144,144t,41.95198,-76.04833,135,1,135,41.9527076,-76.04641204,499.7637329,255586,159.2161407,70.43943787,-196.0546875,43.46425247,0.770933333,0.020022222,0
136,137,145,145r,41.49999,-76.45981,136,1,136,41.50093848,-76.46056657,460.5494385,144707,137.0205383,61.01437378,-182.234314,40.94054794,0.733811111,0.019422222,0
137,138,146,146r,41.49394,-75.99918,137,1,137,41.49479403,-76.00050113,343.0662842,163478,117.791481,60.01042175,-147.2558594,35.80994034,0.755822222,0.0183,0
138,139,147,147r,41.389055,-74.95867,138,1,138,41.38841658,-74.96085529,423.817688,181662,129.1479034,65.69174957,-151.8525085,34.8038826,0.894366667,0.037088889,0
139,141,147,147t,41.39625,-74.94528,139,1,139,41.39570997,-74.94529943,406.7391357,184552,130.3457031,66.4173584,-151.8250275,34.75134659,0.877677778,0.029022222,0
140,142,148,148r,41.7656,-76.08587,140,1,140,41.76501315,-76.08724738,420.3076782,228804,135.749939,64.75318909,-166.7299194,39.26383591,0.6761,0.028188889,0.006944444
141,143,149,149r,41.50751,-79.04437,141,1,141,41.5089465,-79.04367854,544.5769043,283908,143.3105011,70.84818268,-212.6833191,45.68624115,0.983277778,0.018866667,0
142,144,150,150r,41.64448,-75.63644,142,1,142,41.64408024,-75.63663938,447.4644775,219138,144.2790985,72.96755219,-189.6499176,41.34169006,0.581344444,0.035933333,0
143,145,152,152r,41.54863,-76.26229,143,1,143,41.54877313,-76.2604942,692.098877,167158,151.5380707,71.40930939,-206.2827606,45.37133408,0.709722222,0.027677778,0
144,146,152,152t,41.54535,-76.26525,144,1,144,41.54628886,-76.26564516,629.6483765,166220,152.1607361,72.35044861,-209.984314,45.96677017,0.717388889,0.026322222,0
145,147,153,153r,41.82332,-75.45955,145,1,145,41.82285496,-75.45874055,728.3516235,252179,190.5295868,88.7171402,-273.463501,53.83905792,0.749655556,0.051411111,0
146,148,154,154r,41.94229,-75.33337,146,1,146,41.94099511,-75.33394369,511.9510803,261783,170.0766907,78.33399963,-217.9375916,45.74770737,0.847144444,0.035644444,0
147,149,155,155r,41.17043,-75.00846,147,1,147,41.16910696,-75.00950215,380.5111084,117259,119.196907,59.05801392,-135.8993225,32.13150024,0.898544444,0.022622222,0
148,150,156,156r,41.92314,-75.4776,148,1,148,41.92473168,-75.47758083,458.7000122,260212,170.9830933,77.43212891,-219.80513,46.14140701,0.813033333,0.028177778,0
149,151,156,156t,41.92473,-75.4693,149,1,149,41.92335234,-75.4690414,501.2277832,260214,175.0974579,79.68700409,-230.5131073,47.89439392,0.812066667,0.031833333,0
150,152,157,157r,41.73269,-75.47682,150,1,150,41.73348195,-75.47640345,514.2622681,240064,157.8875427,78.25251007,-238.1263733,47.03436279,0.680788889,0.025122222,0.0625
151,153,158,158r,41.42252,-79.11698,151,1,151,41.42398107,-79.11727367,499.5414429,279652,127.5239487,65.61209106,-194.7576599,42.72648239,0.922311111,0.0157,0
152,154,158,158t,41.42686,-79.1114,152,1,152,41.42657824,-79.11223454,516.1516724,279816,130.268158,66.98238373,-198.6737366,43.38391113,0.926955556,0.016277778,0.013888889
153,155,159,159r,41.25852,-75.74065,153,1,153,41.25924965,-75.74050976,496.6132507,108739,124.2641449,69.23531342,-169.9347382,39.71556473,0.922044444,0.017744444,0
154,156,161,161r,41.75504,-79.11506,154,1,154,41.75399569,-79.11669895,469.3535767,295989,155.890686,74.36303711,-210.0390472,45.3277626,0.959622222,0.006677778,0
